produto_id,nome,categoria,ativo,precos_id,modelo
2a518541-a4d8-4a52-b3b8-d800b4ea1419,"Baú + Suporte Bashi",scooter,true,efc4d9c2-9923-4f9c-822d-8d773f9105bb,"Baú + Suporte Bashi"
c4ebf3de-f688-459a-9b27-ece44ab1f31c,"ECO BIKE ELÉTRICA - CINZA",scooter,true,6baed94e-295c-4c4e-bcd4-66c24f571660,"Eco Bike"
29133c4b-7f8d-4772-86c5-a67260ad0e04,"ECO BIKE ELÉTRICA - PRETA",scooter,true,6baed94e-295c-4c4e-bcd4-66c24f571660,"Eco Bike"
285a8c7e-7f82-4731-8641-9b74c4ae785c,"MOTONETA APOLLO 1000W - PRETO",scooter,true,048787e6-88f1-4673-a090-be8860cb044a,"Apollo"
525d7051-6997-49ed-ba91-578bd5157b1e,"MOTONETA APOLLO 1000W - VERMELHO",scooter,true,048787e6-88f1-4673-a090-be8860cb044a,"Apollo"
e5fc5231-5234-4aaa-a1c0-be9330e2915e,"MOTONETA BAJAX 1000W - AZUL",scooter,true,155f9ff1-9b8a-4574-a7c5-c115dbd347c7,"Bajax"
25c9d043-818f-4794-be37-3e235e6f32c7,"MOTONETA BAJAX 1000W - BRANCA",scooter,true,155f9ff1-9b8a-4574-a7c5-c115dbd347c7,"Bajax"
a17fd752-f36a-48d7-981e-8995b6118cb7,"MOTONETA BAJAX 1000W - CINZA",scooter,true,155f9ff1-9b8a-4574-a7c5-c115dbd347c7,"Bajax"
f8bd2660-18fa-4e06-bc56-76696227272d,"MOTONETA BAJAX 1000W - PRETA",scooter,true,155f9ff1-9b8a-4574-a7c5-c115dbd347c7,"Bajax"
531a2cb6-d0f6-477b-8c96-ac892a581e2d,"MOTONETA BAJAX 1000W - VERMELHA",scooter,true,155f9ff1-9b8a-4574-a7c5-c115dbd347c7,"Bajax"
4bd717d2-12ad-4f67-82b9-3611923466f3,"MOTONETA ELÉTRICA CONQUEST 1000W - BRANCA",scooter,true,df46dac4-75e0-43c6-b59a-2f367f673d4a,"Conquest"
7347f596-a3ea-46f2-bcec-377c987612fb,"MOTONETA ELÉTRICA CONQUEST 1000W - CINZA",scooter,true,df46dac4-75e0-43c6-b59a-2f367f673d4a,"Conquest"
f1887636-4a80-415f-8fe4-18506b09f8c9,"MOTONETA ELÉTRICA CONQUEST 1000W - PRETA",scooter,true,df46dac4-75e0-43c6-b59a-2f367f673d4a,"Conquest"
2eb88f7b-0349-44a2-a424-5ea3c2a6cc78,"MOTONETA ELÉTRICA CONQUEST 1000W - VERMELHA",scooter,true,df46dac4-75e0-43c6-b59a-2f367f673d4a,"Conquest"
2f9ac4cd-3cf3-4fa1-a560-2a60403b3cf7,"MOTONETA ELÉTRICA EXPLORER 1000W - AZUL ESPACIAL",scooter,true,68f61557-3b0b-4a33-bfda-45e84e9fcd4d,"Explore"
68ed9674-1b08-45ff-b2b9-3472ba3eae82,"MOTONETA ELÉTRICA EXPLORER 1000W - CINZA",scooter,true,68f61557-3b0b-4a33-bfda-45e84e9fcd4d,"Explore"
444c5001-478c-41bc-9a6e-a2b6fcbb3fe4,"MOTONETA ELÉTRICA FELICIDUO 800W - AZUL",scooter,true,8c2eec63-bf79-4c14-aac7-e9e5e12d0cde,"Felicie Duo"
cb836ec4-28a8-4899-817f-10897c7aebfd,"MOTONETA ELÉTRICA FELICIDUO 800W - BEGE",scooter,true,8c2eec63-bf79-4c14-aac7-e9e5e12d0cde,"Felicie Duo"
75f07856-c8f9-460d-ba3f-f86acb3198be,"MOTONETA ELÉTRICA FUTURE 800W - PRETA",scooter,true,4b09e33d-d9dd-4716-992d-c0d41887ddae,"Future"
70f3d6e1-a8d3-45fc-a093-f85361ceed6a,"MOTONETA ELÉTRICA G7 1000W - BRANCA",scooter,true,6b2bad40-b835-4dbb-b32b-1bb90636267b,"G7"
ff138f53-cd11-4f8b-b69f-ad4097899954,"MOTONETA ELÉTRICA G7 1000W - VERMELHA CEREJA",scooter,true,6b2bad40-b835-4dbb-b32b-1bb90636267b,"G7"
6bd48260-d56b-40ea-82cd-cbbcc93d78b0,"MOTONETA ELÉTRICA G7 1000W - VINHO",scooter,true,6b2bad40-b835-4dbb-b32b-1bb90636267b,"G7"
d8dc7f70-22eb-4577-aa1d-887adf750b7e,"MOTONETA ELÉTRICA GRAZIE 500W - PRETA",scooter,true,17f733ca-9cea-4170-83ea-9bfedce83065,"Grazie"
2cf2acdf-f685-4447-98ea-29982dbb71b7,"MOTONETA ELÉTRICA HARLEY 16 FAN 1000W - BRANCO",scooter,true,47765ac7-58eb-423f-bfae-f41a06868e7f,"Harley 16"
b9f2043e-dd9a-4b3b-8466-c5aad8f0c6cc,"MOTONETA ELÉTRICA HARLEY 16 FAN 1000W - PRETO FOSCO",scooter,true,47765ac7-58eb-423f-bfae-f41a06868e7f,"Harley 16"
e1c50d3e-66fc-44c5-b298-aeafec7e23ee,"MOTONETA ELÉTRICA HARLEY 16 FAN 1000W - REINO UNIDO AZUL",scooter,true,47765ac7-58eb-423f-bfae-f41a06868e7f,"Harley 16"
491e8241-bb5b-4fff-ac6a-6cf2f1c17914,"MOTONETA ELÉTRICA HARLEY 16 FAN 1000W - VERMELHO METÁLICO",scooter,true,47765ac7-58eb-423f-bfae-f41a06868e7f,"Harley 16"
151ed4c8-663a-4301-b036-da2b83bc9f70,"MOTONETA ELÉTRICA LEE 1000W - BRANCA",scooter,true,10557bc8-18c6-48c1-aa51-8393b6456b20,"Lee"
ffb456f4-de0a-4bd6-8bf6-851776f22587,"MOTONETA ELÉTRICA LEE 1000W - PRETA",scooter,true,10557bc8-18c6-48c1-aa51-8393b6456b20,"Lee"
ccf064ed-f3c4-4f65-8f4c-b0c7d2b93ae8,"MOTONETA ELÉTRICA LEE 1000W - VERMELHA",scooter,true,10557bc8-18c6-48c1-aa51-8393b6456b20,"Lee"
cfd9cb40-2447-4805-852d-00ee31c29c9f,"MOTONETA ELÉTRICA MAGGIE 500W - BEGE",scooter,true,fdf92f05-9443-452d-8eac-3426c8b63d41,"Maggie"
cf0cb4e6-99eb-4200-910b-30b5082501f5,"MOTONETA ELÉTRICA PIT 1000W - AZUL CAMALEÃO",scooter,true,6789db15-d0f6-4ebd-862c-91a85ffd67be,"Pit"
cd936ab5-4fb6-4cd9-8147-2c42ad69af3c,"MOTONETA ELÉTRICA PIT 1000W - BRANCA",scooter,true,6789db15-d0f6-4ebd-862c-91a85ffd67be,"Pit"
223896fc-8401-4a3e-bbf0-af4e22934250,"MOTONETA ELÉTRICA PIT 1000W - CINZA",scooter,true,6789db15-d0f6-4ebd-862c-91a85ffd67be,"Pit"
4e278521-62f9-4743-8c0d-acacc8d7baf0,"MOTONETA ELÉTRICA PIT 1000W - PRETA FOSCA",scooter,true,6789db15-d0f6-4ebd-862c-91a85ffd67be,"Pit"
71fe2382-2548-4ce6-be74-7c1f22434225,"MOTONETA ELÉTRICA PIT 1000W - VERMELHO",scooter,true,6789db15-d0f6-4ebd-862c-91a85ffd67be,"Pit"
a10677d3-f08c-4627-93ae-a4e2dae843ea,"MOTONETA ELÉTRICA VIX 1000W - PRETA",scooter,true,b65fee4d-3a59-4b11-beda-9e6610c3ff57,"Vix"
5cb5af0d-9447-44e4-bdcb-7685da11716c,"MOTONETA ELÉTRICA VIX 1000W - VERMELHA",scooter,true,b65fee4d-3a59-4b11-beda-9e6610c3ff57,"Vix"
35f498b5-147b-47fe-a257-27ad780237be,"MOTONETA ELÉTRICA X-BUDDY 1000W - AZUL CAMALEAO",scooter,true,a84a39ad-e7d2-4b75-a1f2-3b537ab01816,"X Buddy 12ah"
d3cfdf72-4860-4fb0-bf71-8777421cd56f,"MOTONETA ELÉTRICA X-BUDDY 1000W - BRANCA",scooter,true,a84a39ad-e7d2-4b75-a1f2-3b537ab01816,"X Buddy 12ah"
dc282583-a303-4e55-b1d7-de77e70d315c,"MOTONETA ELÉTRICA X-BUDDY 1000W - CINZA",scooter,true,a84a39ad-e7d2-4b75-a1f2-3b537ab01816,"X Buddy 12ah"
b50574f6-808d-4206-bba5-d37d14406786,"MOTONETA ELÉTRICA X-BUDDY 1000W - PRETA",scooter,true,a84a39ad-e7d2-4b75-a1f2-3b537ab01816,"X Buddy 12ah"
33b53d6b-b529-4d41-a03e-cc2f271577c1,"MOTONETA ELÉTRICA X-BUDDY 1000W - VINHO",scooter,true,a84a39ad-e7d2-4b75-a1f2-3b537ab01816,"X Buddy 12ah"
